geneName,geneID,zScore
SON,ENSG00000159140,-3.124669528
PRPF38A,ENSG00000134748,-3.116101997
RRM1,ENSG00000167325,-3.111368949
RBM8A,ENSG00000265241,-3.096752965
PSMD1,ENSG00000173692,-3.096124506
SF3B1,ENSG00000115524,-3.093620342
RAN,ENSG00000132341,-3.07912752
SF3B6,ENSG00000115128,-3.077532137
EIF4A3,ENSG00000141543,-3.069480413
AQR,ENSG00000021776,-3.066903792
SMU1,ENSG00000122692,-3.062911641
COPZ1,ENSG00000111481,-3.062376816
PSMC3,ENSG00000165916,-3.059092457
ARCN1,ENSG00000095139,-3.057481359
COPA,ENSG00000122218,-3.048977594
COPB2,ENSG00000184432,-3.04237531
SNU13,ENSG00000100138,-3.041592698
KIF11,ENSG00000138160,-3.028571358
ISY1,ENSG00000240682,-3.022194419
PSMA1,ENSG00000129084,-3.022155347
COPB1,ENSG00000129083,-3.015952996
XAB2,ENSG00000076924,-3.014456992
SNRPB,ENSG00000125835,-3.005854643
POLR2B,ENSG00000047315,-2.992759973
POLA1,ENSG00000101868,-2.980970952
RPA1,ENSG00000132383,-2.976097552
POMP,ENSG00000132963,-2.973255511
TIMELESS,ENSG00000111602,-2.966897878
WBP11,ENSG00000084463,-2.965004474
CHMP2A,ENSG00000130724,-2.964446047
ZMAT2,ENSG00000146007,-2.962315818
SF3B2,ENSG00000087365,-2.957621074
HNRNPK,ENSG00000165119,-2.957219086
IK,ENSG00000113141,-2.950967558
U2AF1,ENSG00000160201,-2.950187423
PLRG1,ENSG00000171566,-2.949401571
EFTUD2,ENSG00000108883,-2.945731342
PSMC4,ENSG00000013275,-2.945069237
PSMC4,ENSG00000281221,-2.945069237
CRNKL1,ENSG00000101343,-2.944898254
PSMC5,ENSG00000087191,-2.940523856
CACTIN,ENSG00000105298,-2.936807152
RPL19,ENSG00000108298,-2.933285789
PRIM2,ENSG00000146143,-2.930380246
RPS27A,ENSG00000143947,-2.926105351
RPS14,ENSG00000164587,-2.924967629
COPG1,ENSG00000181789,-2.92023017
NXF1,ENSG00000162231,-2.915536391
PSMD3,ENSG00000108344,-2.912916641
SF3A3,ENSG00000183431,-2.909969302
SNRPD2,ENSG00000125743,-2.902519127
POLE,ENSG00000177084,-2.899591564
SNRPF,ENSG00000139343,-2.897168704
CKAP5,ENSG00000175216,-2.8956829
RPS7,ENSG00000171863,-2.893792276
RPL27A,ENSG00000166441,-2.893177541
NUP205,ENSG00000155561,-2.891694582
PSMB3,ENSG00000277791,-2.888674911
PSMB3,ENSG00000275903,-2.888674911
SLU7,ENSG00000164609,-2.887083783
CHEK1,ENSG00000149554,-2.883993985
AURKB,ENSG00000178999,-2.876841717
EIF2S3,ENSG00000130741,-2.875407622
SNRPE,ENSG00000182004,-2.874981361
RPL17,ENSG00000265681,-2.874435785
PSMD8,ENSG00000099341,-2.87327655
RPL24,ENSG00000114391,-2.872316548
RPS5,ENSG00000083845,-2.868116493
PSMD2,ENSG00000175166,-2.868070539
CNOT1,ENSG00000125107,-2.862835624
RPL4,ENSG00000174444,-2.861601869
RPL9,ENSG00000163682,-2.85902642
RPL3,ENSG00000100316,-2.85086605
NAPA,ENSG00000105402,-2.850021782
RPL30,ENSG00000156482,-2.849690938
SNRNP200,ENSG00000144028,-2.848795933
RPL31,ENSG00000071082,-2.846028116
RPL14,ENSG00000188846,-2.845589516
RPL37,ENSG00000145592,-2.842798026
POLR2D,ENSG00000144231,-2.841779363
RPL36,ENSG00000130255,-2.841389149
INTS4,ENSG00000149262,-2.840589365
RPL34,ENSG00000109475,-2.839161026
NUP93,ENSG00000102900,-2.8390243
POLR2F,ENSG00000100142,-2.838802121
MAGOHB,ENSG00000111196,-2.832863899
RPL18,ENSG00000063177,-2.832597509
POLD1,ENSG00000062822,-2.824306822
RPS20,ENSG00000008988,-2.8240073
RPL10A,ENSG00000198755,-2.823353944
RPL23,ENSG00000125691,-2.822909685
RPS6,ENSG00000137154,-2.820870435
RPS3,ENSG00000149273,-2.819975835
KPNB1,ENSG00000108424,-2.818241422
PSMC1,ENSG00000100764,-2.816844074
POLE2,ENSG00000100479,-2.816497046
TNKS1BP1,ENSG00000149115,-2.812872311
PRIM1,ENSG00000198056,-2.812697118
UBA52,ENSG00000221983,-2.811428555
PRPF8,ENSG00000174231,-2.81139896
PRPF8,ENSG00000274442,-2.81139896
SRSF1,ENSG00000136450,-2.803317967
RPS29,ENSG00000213741,-2.802308591
CDK11B,ENSG00000248333,-2.799769601
SRSF2,ENSG00000161547,-2.786411208
RPS3A,ENSG00000145425,-2.782726958
RPS24,ENSG00000138326,-2.781736056
LSM4,ENSG00000130520,-2.780855933
RPL26,ENSG00000161970,-2.779911656
MTSS1L,ENSG00000132613,-2.779187769
SF3B5,ENSG00000169976,-2.777890302
RPS19,ENSG00000105372,-2.776496052
PCF11,ENSG00000165494,-2.7715047
EEF1A1,ENSG00000156508,-2.771053795
RANBP2,ENSG00000153201,-2.770927601
PSMC6,ENSG00000100519,-2.767166222
ATP5F1C,ENSG00000165629,-2.765234167
CHMP4B,ENSG00000101421,-2.764993236
RPL6,ENSG00000089009,-2.764851619
RPL18A,ENSG00000105640,-2.764642975
RPS28,ENSG00000233927,-2.760872354
PHF5A,ENSG00000100410,-2.757442085
CDC5L,ENSG00000096401,-2.756747243
PSMD11,ENSG00000108671,-2.752102672
RPL35,ENSG00000136942,-2.751483639
INCENP,ENSG00000149503,-2.750440924
POLR2G,ENSG00000168002,-2.749624544
POLR2H,ENSG00000163882,-2.747270717
POLR2I,ENSG00000105258,-2.741822474
PSMA7,ENSG00000101182,-2.74012062
CSNK1A1,ENSG00000113712,-2.739474975
DDX23,ENSG00000174243,-2.735963572
RPL21,ENSG00000122026,-2.734563444
EIF2S1,ENSG00000134001,-2.732645012
SF3B4,ENSG00000143368,-2.727368554
TYMS,ENSG00000176890,-2.727107365
SART1,ENSG00000175467,-2.722988703
RPS16,ENSG00000105193,-2.721050314
FGD1,ENSG00000102302,-2.718940502
RPL32,ENSG00000144713,-2.717207646
RPL38,ENSG00000172809,-2.714425308
U2AF2,ENSG00000063244,-2.713596245
ERH,ENSG00000100632,-2.711306653
RPL8,ENSG00000161016,-2.709807757
CLDND1,ENSG00000080822,-2.695386471
RPS15A,ENSG00000134419,-2.693551822
PLK1,ENSG00000166851,-2.693080207
FXR2,ENSG00000129245,-2.692321953
PSMA6,ENSG00000100902,-2.691639684
FOLR1,ENSG00000110195,-2.69075752
CSE1L,ENSG00000124207,-2.690406438
USP39,ENSG00000168883,-2.688294635
SERF1B,ENSG00000278839,-2.685606336
SERF1A,ENSG00000172058,-2.685606336
SERF1A,ENSG00000275581,-2.685606336
BIRC2,ENSG00000110330,-2.681185971
NUP98,ENSG00000110713,-2.680680547
GPR146,ENSG00000164849,-2.677659454
SNRPD1,ENSG00000167088,-2.673585243
RPS13,ENSG00000110700,-2.668010109
RPL37A,ENSG00000197756,-2.666478968
PSMD6,ENSG00000163636,-2.655900549
MCM10,ENSG00000065328,-2.653551203
ACD,ENSG00000102977,-2.643432434
PSMA3,ENSG00000100567,-2.641881128
KNL1,ENSG00000137812,-2.638743229
AC012314.22,ENSG00000277079,-2.630105563
AC012314.30,ENSG00000278081,-2.630105563
AC012314.13,ENSG00000275323,-2.630105563
RPS9,ENSG00000274646,-2.630105563
AC012314.24,ENSG00000277359,-2.630105563
RPS9,ENSG00000274950,-2.630105563
AC012314.3,ENSG00000274005,-2.630105563
AC012314.7,ENSG00000274626,-2.630105563
RPS9,ENSG00000170889,-2.630105563
RPS9,ENSG00000278270,-2.630105563
AP3B2,ENSG00000103723,-2.628962393
PSMA4,ENSG00000041357,-2.628367835
UMODL1,ENSG00000177398,-2.626615734
FBXO5,ENSG00000112029,-2.620640074
OR2T29,ENSG00000182783,-2.620445236
NCAPG2,ENSG00000146918,-2.620110532
LSM7,ENSG00000130332,-2.61844521
FOSB,ENSG00000125740,-2.611765929
KCNMB4,ENSG00000135643,-2.611663489
RPS10,ENSG00000124614,-2.607590594
SF3B3,ENSG00000189091,-2.60757465
RPL39,ENSG00000198918,-2.60466828
HNRNPC,ENSG00000092199,-2.604636025
CWC15,ENSG00000150316,-2.603796827
TMEM41B,ENSG00000166471,-2.603637739
LRRC32,ENSG00000137507,-2.600810628
LSM6,ENSG00000164167,-2.59128224
GPR35,ENSG00000178623,-2.589684988
GAD2,ENSG00000136750,-2.587335833
HTN3,ENSG00000282967,-2.584957718
HTN3,ENSG00000205649,-2.584957718
RPLP0,ENSG00000089157,-2.580466353
PRPF31,ENSG00000105618,-2.57887128
AC012314.8,ENSG00000274651,-2.57887128
AC012314.23,ENSG00000277154,-2.57887128
AC012314.28,ENSG00000277953,-2.57887128
AC012314.20,ENSG00000276421,-2.57887128
AC012314.5,ENSG00000274144,-2.57887128
AC012314.12,ENSG00000275117,-2.57887128
PRPF31,ENSG00000275885,-2.57887128
AC012314.10,ENSG00000274894,-2.57887128
AC012314.26,ENSG00000277707,-2.57887128
GATAD2A,ENSG00000167491,-2.578481314
FURIN,ENSG00000140564,-2.576225668
PSMB2,ENSG00000126067,-2.572280987
RPL35A,ENSG00000182899,-2.571723099
PSMB7,ENSG00000136930,-2.570276692
ARRB1,ENSG00000137486,-2.563735972
STON2,ENSG00000140022,-2.558005164
CLMN,ENSG00000165959,-2.557239284
PSMD14,ENSG00000115233,-2.557109769
TIMM8B,ENSG00000150779,-2.555801791
KRT72,ENSG00000170486,-2.549844857
