SRA Sample ID,Prediction,Label,# of peaks,Mode,IP Type,Condition,Tissue,Genotype,Other,PMID,Control Sample ID,Read Length,Paired End,Stranded,Discarded during model building,Peaks URL,Coverage URL,RLSeq Report URL
SRX1070676,POS,POS,34092,DRIPc,S9.6,S96,NT2,WT,NT,27373332,NA,50,FALSE,TRUE,FALSE,peaks/SRX1070676_hg38.broadPeak,coverage/SRX1070676_hg38.bw,reports/SRX1070676_hg38.html
SRX1070677,POS,POS,22117,DRIPc,S9.6,S96,NT2,WT,NT,27373332,NA,50,FALSE,TRUE,FALSE,peaks/SRX1070677_hg38.broadPeak,coverage/SRX1070677_hg38.bw,reports/SRX1070677_hg38.html
SRX1070678,POS,POS,73924,DRIP,S9.6,S96,NT2,WT,NT,27373332,NA,50,FALSE,FALSE,FALSE,peaks/SRX1070678_hg38.broadPeak,coverage/SRX1070678_hg38.bw,reports/SRX1070678_hg38.html
SRX1070679,POS,POS,54386,DRIP,S9.6,S96,NT2,WT,NT,27373332,NA,50,FALSE,FALSE,FALSE,peaks/SRX1070679_hg38.broadPeak,coverage/SRX1070679_hg38.bw,reports/SRX1070679_hg38.html
SRX3084731,POS,POS,68081,DRIP,S9.6,S96,HEK293,WT,siCTR,30060749,NA,50,FALSE,FALSE,FALSE,peaks/SRX3084731_hg38.broadPeak,coverage/SRX3084731_hg38.bw,reports/SRX3084731_hg38.html
SRX3084732,POS,POS,58970,DRIP,S9.6,S96,HEK293,WT,siTOP1,30060749,NA,50,FALSE,FALSE,FALSE,peaks/SRX3084732_hg38.broadPeak,coverage/SRX3084732_hg38.bw,reports/SRX3084732_hg38.html
SRX3084733,POS,POS,44008,DRIP,S9.6,S96,HEK293,WT,siTOP1,30060749,NA,50,FALSE,FALSE,FALSE,peaks/SRX3084733_hg38.broadPeak,coverage/SRX3084733_hg38.bw,reports/SRX3084733_hg38.html
SRX2187015,NEG,NEG,134,DRIP,S9.6,Input,SHS5Y5,WT,shCTR,28270613,NA,50,FALSE,FALSE,FALSE,peaks/SRX2187015_hg38.broadPeak,coverage/SRX2187015_hg38.bw,reports/SRX2187015_hg38.html
SRX2187016,NEG,NEG,136,DRIP,S9.6,Input,SHS5Y5,WT,shCTR,28270613,NA,50,FALSE,FALSE,FALSE,peaks/SRX2187016_hg38.broadPeak,coverage/SRX2187016_hg38.bw,reports/SRX2187016_hg38.html
SRX2187017,NEG,NEG,120,DRIP,S9.6,Input,SHS5Y5,WT,shSMN,28270613,NA,50,FALSE,FALSE,FALSE,peaks/SRX2187017_hg38.broadPeak,coverage/SRX2187017_hg38.bw,reports/SRX2187017_hg38.html
SRX2187018,NEG,NEG,120,DRIP,S9.6,Input,SHS5Y5,WT,shSMN,28270613,NA,50,FALSE,FALSE,FALSE,peaks/SRX2187018_hg38.broadPeak,coverage/SRX2187018_hg38.bw,reports/SRX2187018_hg38.html
SRX2187019,NEG,NEG,2470,DRIP,S9.6,IgG,SHS5Y5,WT,shCTR,28270613,SRX2187015,50,FALSE,FALSE,FALSE,peaks/SRX2187019_hg38.broadPeak,coverage/SRX2187019_hg38.bw,reports/SRX2187019_hg38.html
SRX2187020,NEG,NEG,1331,DRIP,S9.6,IgG,SHS5Y5,WT,shCTR,28270613,SRX2187016,50,FALSE,FALSE,FALSE,peaks/SRX2187020_hg38.broadPeak,coverage/SRX2187020_hg38.bw,reports/SRX2187020_hg38.html
SRX2187021,NEG,NEG,47,DRIP,S9.6,IgG,SHS5Y5,WT,shSMN,28270613,SRX2187017,50,FALSE,FALSE,FALSE,peaks/SRX2187021_hg38.broadPeak,coverage/SRX2187021_hg38.bw,reports/SRX2187021_hg38.html
SRX2187022,NEG,NEG,233,DRIP,S9.6,IgG,SHS5Y5,WT,shSMN,28270613,SRX2187018,50,FALSE,FALSE,FALSE,peaks/SRX2187022_hg38.broadPeak,coverage/SRX2187022_hg38.bw,reports/SRX2187022_hg38.html
SRX2187023,POS,POS,30170,DRIP,S9.6,S96,SHS5Y5,WT,shCTR,28270613,SRX2187015,50,FALSE,FALSE,FALSE,peaks/SRX2187023_hg38.broadPeak,coverage/SRX2187023_hg38.bw,reports/SRX2187023_hg38.html
SRX2187024,POS,POS,34152,DRIP,S9.6,S96,SHS5Y5,WT,shCTR,28270613,SRX2187016,50,FALSE,FALSE,FALSE,peaks/SRX2187024_hg38.broadPeak,coverage/SRX2187024_hg38.bw,reports/SRX2187024_hg38.html
SRX2187025,POS,POS,31655,DRIP,S9.6,S96,SHS5Y5,WT,shSMN,28270613,SRX2187017,50,FALSE,FALSE,FALSE,peaks/SRX2187025_hg38.broadPeak,coverage/SRX2187025_hg38.bw,reports/SRX2187025_hg38.html
SRX2187026,POS,POS,28717,DRIP,S9.6,S96,SHS5Y5,WT,shSMN,28270613,SRX2187018,50,FALSE,FALSE,FALSE,peaks/SRX2187026_hg38.broadPeak,coverage/SRX2187026_hg38.bw,reports/SRX2187026_hg38.html
SRX534096,NEG,POS,7639,DRIP,S9.6,S96,Fibroblast,RNASEH2B,AGS2-P1,26182405,SRX534093,50,FALSE,FALSE,TRUE,peaks/SRX534096_hg38.broadPeak,coverage/SRX534096_hg38.bw,reports/SRX534096_hg38.html
SRX534098,POS,POS,24927,DRIP,S9.6,S96,Fibroblast,RNASEH2A,AGS4-P1,26182405,SRX534093,50,FALSE,FALSE,FALSE,peaks/SRX534098_hg38.broadPeak,coverage/SRX534098_hg38.bw,reports/SRX534098_hg38.html
SRX550078,POS,POS,6432,DRIP,S9.6,S96,Fibroblast,WT,Healthy,26182405,SRX534093,50,FALSE,FALSE,TRUE,peaks/SRX550078_hg38.broadPeak,coverage/SRX550078_hg38.bw,reports/SRX550078_hg38.html
SRX3581336,NA,NEG,0,DRIP,S9.6,Input,HeLa,WT,shCTR,32769985,NA,50,FALSE,FALSE,FALSE,peaks/SRX3581336_hg38.broadPeak,coverage/SRX3581336_hg38.bw,reports/SRX3581336_hg38.html
SRX3581338,POS,POS,102437,DRIP,S9.6,S96,HeLa,WT,shASF,32769985,SRX3581336,50,FALSE,FALSE,FALSE,peaks/SRX3581338_hg38.broadPeak,coverage/SRX3581338_hg38.bw,reports/SRX3581338_hg38.html
SRX3581339,POS,POS,107393,DRIP,S9.6,S96,HeLa,WT,shCTR,32769985,SRX3581336,50,FALSE,FALSE,FALSE,peaks/SRX3581339_hg38.broadPeak,coverage/SRX3581339_hg38.bw,reports/SRX3581339_hg38.html
SRX3581340,POS,POS,109185,DRIP,S9.6,S96,HeLa,WT,shTOP1,32769985,SRX3581336,50,FALSE,FALSE,FALSE,peaks/SRX3581340_hg38.broadPeak,coverage/SRX3581340_hg38.bw,reports/SRX3581340_hg38.html
SRX3581341,NEG,NEG,818,DRIP,S9.6,Input,HeLa,WT,shASF,32769985,NA,50,FALSE,FALSE,FALSE,peaks/SRX3581341_hg38.broadPeak,coverage/SRX3581341_hg38.bw,reports/SRX3581341_hg38.html
SRX3581342,POS,POS,60250,DRIP,S9.6,S96,HeLa,WT,shASF,32769985,SRX3581341,50,FALSE,FALSE,FALSE,peaks/SRX3581342_hg38.broadPeak,coverage/SRX3581342_hg38.bw,reports/SRX3581342_hg38.html
SRX3581343,NEG,NEG,107460,DRIP,S9.6,Input,HeLa,WT,shCTR,32769985,NA,50,FALSE,FALSE,FALSE,peaks/SRX3581343_hg38.broadPeak,coverage/SRX3581343_hg38.bw,reports/SRX3581343_hg38.html
SRX3581344,POS,POS,81405,DRIP,S9.6,S96,HeLa,WT,shCTR,32769985,SRX3581343,50,FALSE,FALSE,FALSE,peaks/SRX3581344_hg38.broadPeak,coverage/SRX3581344_hg38.bw,reports/SRX3581344_hg38.html
SRX3581345,NEG,NEG,1313,DRIP,S9.6,Input,HeLa,WT,shTOP1,32769985,NA,50,FALSE,FALSE,FALSE,peaks/SRX3581345_hg38.broadPeak,coverage/SRX3581345_hg38.bw,reports/SRX3581345_hg38.html
SRX3581346,POS,POS,94781,DRIP,S9.6,S96,HeLa,WT,shTOP1,32769985,SRX3581345,50,FALSE,FALSE,FALSE,peaks/SRX3581346_hg38.broadPeak,coverage/SRX3581346_hg38.bw,reports/SRX3581346_hg38.html
SRX1070680,POS,POS,60447,DRIP,S9.6,RNaseA,NT2,WT,NT,27373332,NA,100,FALSE,FALSE,FALSE,peaks/SRX1070680_hg38.broadPeak,coverage/SRX1070680_hg38.bw,reports/SRX1070680_hg38.html
SRX1070681,NEG,NEG,5746,DRIP,S9.6,RNH,NT2,WT,NT,27373332,NA,100,FALSE,FALSE,FALSE,peaks/SRX1070681_hg38.broadPeak,coverage/SRX1070681_hg38.bw,reports/SRX1070681_hg38.html
SRX3084735,POS,POS,45633,DRIPc,S9.6,S96,HEK293,WT,siCTR,30060749,NA,100,FALSE,TRUE,FALSE,peaks/SRX3084735_hg38.broadPeak,coverage/SRX3084735_hg38.bw,reports/SRX3084735_hg38.html
SRX3084736,POS,POS,40697,DRIPc,S9.6,S96,HEK293,WT,siTOP1,30060749,NA,100,FALSE,TRUE,TRUE,peaks/SRX3084736_hg38.broadPeak,coverage/SRX3084736_hg38.bw,reports/SRX3084736_hg38.html
SRX3084737,POS,POS,49670,DRIPc,S9.6,S96,HEK293,WT,siTOP1,30060749,NA,100,FALSE,TRUE,FALSE,peaks/SRX3084737_hg38.broadPeak,coverage/SRX3084737_hg38.bw,reports/SRX3084737_hg38.html
SRX534094,POS,POS,47182,DRIP,S9.6,S96,Fibroblast,WT,Healthy,26182405,SRX534093,100,FALSE,FALSE,FALSE,peaks/SRX534094_hg38.broadPeak,coverage/SRX534094_hg38.bw,reports/SRX534094_hg38.html
SRX534097,POS,POS,56411,DRIP,S9.6,S96,Fibroblast,RNASEH2B,AGS2-P2,26182405,SRX534093,100,FALSE,FALSE,FALSE,peaks/SRX534097_hg38.broadPeak,coverage/SRX534097_hg38.bw,reports/SRX534097_hg38.html
SRX534099,POS,POS,27768,DRIP,S9.6,S96,Fibroblast,RNASEH2A,AGS4-P2,26182405,SRX534093,100,FALSE,FALSE,FALSE,peaks/SRX534099_hg38.broadPeak,coverage/SRX534099_hg38.bw,reports/SRX534099_hg38.html
SRX5729069,POS,POS,23284,sDRIP,S9.6,S96,PATC53,WT,DMSO 1d,34330913,NA,100,FALSE,TRUE,FALSE,peaks/SRX5729069_hg38.broadPeak,coverage/SRX5729069_hg38.bw,reports/SRX5729069_hg38.html
SRX5729070,POS,POS,37733,sDRIP,S9.6,S96,PATC53,WT,DMSO 3d,34330913,NA,100,FALSE,TRUE,FALSE,peaks/SRX5729070_hg38.broadPeak,coverage/SRX5729070_hg38.bw,reports/SRX5729070_hg38.html
SRX5729072,POS,POS,37546,sDRIP,S9.6,S96,PATC53,WT,DMSO 1d,34330913,NA,100,FALSE,TRUE,FALSE,peaks/SRX5729072_hg38.broadPeak,coverage/SRX5729072_hg38.bw,reports/SRX5729072_hg38.html
