rlregion,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RL51568,466.4856798540838,-4.709224833742713,0.18271299457060688,-25.77389114994171,1.7402660019292859e-146,1.7089412138945586e-142
RL57939,1938.5629113058264,1.9498752616343313,0.09180063365534896,21.240324646939055,4.050808584937255e-100,1.988947015204192e-96
RL14256,91.93401204210609,-3.316908935323959,0.15687033441047207,-21.144271463365573,3.115630738596756e-99,1.0198497951006715e-95
RL21510,274.8132669539154,-3.2995520895146293,0.15799899028349113,-20.88337453039654,7.584171973531106e-97,1.8619142195018866e-93
RL17983,54.60640663193311,-2.845253598819855,0.1384593168051494,-20.54938349019817,7.794678685540608e-94,1.5308748938401754e-90
RL47456,167.4144584483447,-3.9355910350483554,0.19172414395524434,-20.527362667307415,1.2265375740394855e-93,2.007433162844625e-90
RL3396,206.68485756752932,-3.2916328555126237,0.1606604615274526,-20.488132700590874,2.7472967339719398e-93,3.8540648468006357e-90
RL56350,100.9953423215998,-4.245393376523131,0.20930764941173022,-20.283030211533237,1.8159234438285497e-91,2.2290460272995447e-88
RL9960,195.66897622286365,-3.2407723749125057,0.16145089941500368,-20.072804714343633,1.2759675972873069e-89,1.3922224228179281e-86
RL1529,209.30578286848882,-3.877395595148373,0.194544977310402,-19.930586997174846,2.209553424198415e-88,2.1697814625628438e-85
RL4459,71.37521247059756,-3.1054640895397503,0.15585272247886,-19.925632611011835,2.43944206789361e-88,2.177756464246841e-85
RL42467,71.0291781260136,-3.382881378072122,0.17000423166209827,-19.898806900265654,4.167303930075535e-88,3.410243716111813e-85
RL29563,107.95399009392649,-3.2716993576281217,0.16563830407535002,-19.7520698843898,7.699644468015791e-87,5.81619297507039e-84
RL53900,260.0097793029909,-3.1563978995901385,0.16039007480965392,-19.679508868214295,3.23118334612914e-86,2.266444318499154e-83
RL51862,98.37837729976651,-2.5247229011066885,0.12853995625785297,-19.64154162338486,6.829323927529006e-86,4.470930731222322e-83
RL56739,1566.7572916988363,2.39796301741914,0.12220826518784943,19.621938121232393,1.0044949627831473e-85,6.1650878340815664e-83
RL17913,114.35903338920944,-3.208327637966414,0.16452325109154128,-19.50075516184208,1.081733394112885e-84,6.248601135405017e-82
RL22069,230.97852840507954,-3.6465618867914023,0.18727018297544434,-19.472196955505485,1.8898953815888413e-84,1.0310429248445789e-81
RL28004,112.81086435150998,-4.680014660653968,0.2420180675214542,-19.337459837535057,2.599695039099532e-83,1.3436318570503898e-80
RL52759,97.40827108888703,-2.7682210372743214,0.14323781932415236,-19.326048457982576,3.243273969125784e-83,1.59244751884076e-80
RL13244,123.29278283830536,-3.696434331733534,0.19313494589180435,-19.1391273840432,1.192505199284609e-81,5.576381455702314e-79
RL39352,197.44704004961852,-2.616004005988579,0.13673238161451484,-19.132293134217424,1.3595989276052704e-81,6.068755213219889e-79
RL44938,128.77494043761945,-3.0036185859288533,0.15729607458250955,-19.095318137473974,2.761700655008679e-81,1.1791261057471837e-78
RL25357,71.04393889722924,-2.5103751413618816,0.13245861591609714,-18.952146857340114,4.239302061548448e-80,1.734581093516907e-77
RL45958,49.362852593985664,-3.192909880923983,0.16908505085120706,-18.88345459785033,1.5603827003639102e-79,6.129183247029439e-77
RL23911,80.10968396536687,-3.2143577426872416,0.17091583093837498,-18.806670657946267,6.659078622041079e-79,2.5150827718632075e-76
RL760,102.05060265380277,-2.868712810661891,0.15267934875404957,-18.789134444652934,9.267863080853473e-79,3.370756127925226e-76
RL41948,50.472392803951536,-2.623800157291835,0.1401936330523289,-18.715544352235103,3.698237819218035e-78,1.2970248351686108e-75
RL3512,49.36217888125428,-2.9184311362405704,0.15634888654128898,-18.66614595601782,9.335106802480862e-78,3.161060303460761e-75
RL3226,132.8690287685892,-3.0203054249706187,0.16194424260452736,-18.65027972835252,1.2561834582055418e-77,4.1119071865261403e-75
RL21506,500.4176061288085,-3.6522777586966217,0.19600930045268192,-18.633186028732897,1.729177844128877e-77,5.477589170756636e-75
RL22822,41.997739651904844,-3.2151370127408563,0.1726798472001855,-18.61906334103707,2.2511718726246068e-77,6.908283684116762e-75
RL9426,116.9827358930587,-2.7861747387459195,0.15003188047902,-18.57055133782403,5.56288184509257e-77,1.6553787793578497e-74
RL47195,103.46558994991591,-2.966080692637922,0.16011690665906364,-18.52446911776523,1.3108974233378331e-76,3.786180205052212e-74
RL50429,97.89488817856275,-3.170406185863552,0.17120354536901153,-18.518344226050164,1.4688537886448913e-76,4.121184058426523e-74
RL45334,84.52340795811617,-2.809506547727444,0.15232679210073974,-18.44394219153126,5.832931011407494e-76,1.5910939592228218e-73
RL57790,1450.0245551776986,1.6596133120269636,0.0900670800119597,18.42641408832827,8.065523400837043e-76,2.1406335080059395e-73
RL1444,88.89647616312772,-2.233022066240527,0.12150810446338675,-18.37755659264184,1.9872027432986386e-75,5.135350247155956e-73
RL11772,72.64931852691352,-2.842099680905365,0.15497786633085806,-18.338745707324705,4.0605800174403623e-75,1.0224332249042143e-72
RL38954,154.6223417778453,-3.369601810582257,0.18389470745755318,-18.323538818320984,5.37044176697162e-75,1.3184434537915326e-72
RL14202,65.0854492605058,-3.059001603895253,0.1677511597130726,-18.235352942581592,2.7050215943151908e-74,6.478856599067115e-72
RL5380,129.55786922826567,-3.598682469033994,0.1987227654385315,-18.109059931269577,2.7032528977033946e-73,6.3204627274874605e-71
RL55269,38.532295383749805,-3.1750593936127753,0.17573079975751288,-18.067745654113967,5.720380816283294e-73,1.3063753399046964e-70
RL27808,482.649063813493,-3.150552429247466,0.17599180095911693,-17.901700034192743,1.1437657154707716e-71,2.552677119527949e-69
RL38790,1750.9133203576919,1.7548310330422772,0.09805525781437335,17.896348162831984,1.2591243482986766e-71,2.7476891333984457e-69
RL33189,1004.9418824069319,1.5180809058747238,0.08486905445012825,17.88733143912657,1.4802976028973581e-71,3.160113578359143e-69
RL24178,70.91800807795285,-2.7119578406323175,0.15203475622574109,-17.83774913024233,3.599042291300158e-71,7.519701127780329e-69
RL52175,51.77352053371671,-2.4436317216856893,0.13708655327146482,-17.825466199056756,4.483377877354243e-71,9.172243907420556e-69
RL48919,107.19948341673323,-3.1973384378052065,0.17976981799031128,-17.78573552306499,9.11592433789853e-71,1.8269056530237462e-68
RL49748,63.27536504287738,-2.561815416418388,0.14405581296735676,-17.783492131614977,9.48817246236705e-71,1.863477071608889e-68
RL38379,65.5126714091965,-2.572842691448503,0.1448690990594192,-17.759775605377595,1.4481234456168348e-70,2.788347497246533e-68
RL63886,74.97727086433268,-3.226344320722869,0.1817091821897223,-17.755538172827432,1.5616649874927016e-70,2.9491442648419865e-68
RL32955,52.71458311271315,-2.726614135005347,0.1537808008992151,-17.73052370036957,2.4375321481292172e-70,4.516333149929984e-68
RL20095,79.09883390345455,-3.1008188547930313,0.17505194162828436,-17.71370729139065,3.2869214607292334e-70,5.97732754525205e-68
RL42737,1593.5223011011753,1.3158616742793938,0.07430218542133708,17.709595845905262,3.5360227045208526e-70,6.313407810617231e-68
RL9045,66.11100881991665,-2.973007667899893,0.16823937634069464,-17.671295106796983,6.977642683871367e-70,1.2235794849217291e-67
RL42948,554.7477018999306,-4.066763436600095,0.23095815584117546,-17.608226138576864,2.130166860315825e-69,3.669866415491474e-67
RL3502,139.75854213867999,-2.1935605527873796,0.12463941790232166,-17.599252224576702,2.495979634839366e-69,4.225951726572858e-67
RL39577,79.67233810803519,-2.281079360389036,0.12964838052291558,-17.594352904283685,2.7214649349725343e-69,4.529624688378015e-67
RL47561,88.14935381866925,-2.43517180701805,0.1384956339369812,-17.583022206505884,3.3237794436999084e-69,5.4399190228555165e-67
RL44809,92.2240732279651,-2.1592646548422225,0.12293867476703224,-17.563754115082265,4.668312322275866e-69,7.515217541762133e-67
RL5890,107.76727872461275,-2.7887304631167775,0.15925420204868274,-17.511189200924726,1.1770912242583156e-68,1.8643606164865577e-66
RL35508,63.66618554294955,-2.447941549837421,0.1403867894365858,-17.437121823654085,4.31252063858079e-68,6.722055979502121e-66
RL42513,105.12937034727047,-2.0309112837385874,0.11683581645438681,-17.38260873566509,1.117522105287282e-67,1.7146979803001732e-65
RL3773,73.41289076458453,-2.2393797936640354,0.12890831330945246,-17.37188034016289,1.3473734967028726e-67,2.0355704211726474e-65
RL25623,2239.6978571659997,2.0213478154448183,0.11657050533291487,17.340130847610475,2.3420318631839255e-67,3.4404435858376917e-65
