db,type,statistic,p.value,padj
RBP_eCLiP,PRPF4,3481,6.758457486062567e-58,3.622533212529536e-55
G4Qpred,tl:4-5_nl:1-2_gn:1,4399,4.141324769904152e-57,2.2197500766686255e-54
Splice_Events,bleedingExon,4059,3.561363609214887e-55,1.9088908945391797e-52
RBP_eCLiP,CSTF2T,4066,7.248780651361379e-55,3.8853464291296994e-52
RBP_eCLiP,PRPF8,4154,1.8669600582420676e-54,1.0006905912177483e-51
Splice_Events,retainedIntron,4282,3.8349175882663737e-54,2.0555158273107762e-51
Transcript_Features,threeUTR,4412,1.516490347903825e-53,8.128388264764503e-51
RBP_eCLiP,AQR,4397,2.4547289178708553e-53,1.3157346999787785e-50
RBP_eCLiP,EFTUD2,4478,5.657919722383337e-53,3.032644971197469e-50
encodeTFBS,AGO2,4873,2.674274205440548e-52,1.4334109741161338e-49
RBP_eCLiP,PPIG,4736,4.508953061382606e-52,2.4167988409010766e-49
G4Qpred,tl:6-12_nl:3-9_gn:1,5241,4.6523177550466916e-52,2.493642316705027e-49
RBP_ChIP,AGO2,4937,3.6106154731896057e-51,1.9352898936296286e-48
RBP_eCLiP,EWSR1,4969,9.628612875579312e-51,5.1609365013105114e-48
Splice_Events,cassetteExon,5083,1.616953982147907e-50,8.666873344312781e-48
RBP_eCLiP,METAP2,5076,2.8951949855928017e-50,1.5518245122777418e-47
Splice_Events,altThreePrime,5193,4.970874367625286e-50,2.6643886610471532e-47
encodeTFBS,POLR2G,5387,5.025564799025656e-50,2.6937027322777516e-47
Encode_CREs,enhP,5040,7.578148776405559e-50,4.0618877441533796e-47
Transcript_Features,Exon,5223,3.182535268133093e-49,1.7058389037193379e-46
RBP_eCLiP,FAM120A,5410,8.565450195764103e-49,4.591081304929559e-46
Encode_Histone,H3K4me1,5541,3.2297490524736694e-48,1.731145492125887e-45
Splice_Events,altFivePrime,5611,3.3397437358929855e-48,1.7901026424386402e-45
RBP_ChIP,SRSF4,5596,5.602715979830182e-48,3.0030557651889775e-45
