"","seqnames","start","end","width","strand","score","pct_cons","normal","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_313","chr1",780000,790000,10001,"*",84,33.3333333333333,3.50655789731998,"window_313","100133331",725885,778626,52742,"-",1373,"upstream",1373,"NA","NA"
"window_326","chr1",812500,822500,10001,"*",76,30.1587301587302,3.406474438763,"window_326","400728",817371,819837,2467,"+",0,"includeFeature",0,"FAM87B","family with sequence similarity 87 member B"
"window_326.1","chr1",812500,822500,10001,"*",76,30.1587301587302,3.406474438763,"window_326","643837",825138,859446,34309,"+",2637,"upstream",2637,"LINC01128","long intergenic non-protein coding RNA 1128"
"window_327","chr1",815000,825000,10001,"*",76,30.1587301587302,3.406474438763,"window_327","400728",817371,819837,2467,"+",0,"includeFeature",0,"FAM87B","family with sequence similarity 87 member B"
"window_327.1","chr1",815000,825000,10001,"*",76,30.1587301587302,3.406474438763,"window_327","643837",825138,859446,34309,"+",137,"upstream",137,"LINC01128","long intergenic non-protein coding RNA 1128"
"window_328","chr1",817500,827500,10001,"*",76,30.1587301587302,3.406474438763,"window_328","400728",817371,819837,2467,"+",0,"overlapEnd",128,"FAM87B","family with sequence similarity 87 member B"
"window_328.1","chr1",817500,827500,10001,"*",76,30.1587301587302,3.406474438763,"window_328","643837",825138,859446,34309,"+",0,"overlapStart",0,"LINC01128","long intergenic non-protein coding RNA 1128"
"window_328.2","chr1",817500,827500,10001,"*",76,30.1587301587302,3.406474438763,"window_328","79854",826206,827522,1317,"-",0,"overlapEnd",21,"LINC00115","long intergenic non-protein coding RNA 115"
"window_329","chr1",820000,830000,10001,"*",76,30.1587301587302,3.406474438763,"window_329","643837",825138,859446,34309,"+",0,"overlapStart",0,"LINC01128","long intergenic non-protein coding RNA 1128"
"window_329.1","chr1",820000,830000,10001,"*",76,30.1587301587302,3.406474438763,"window_329","79854",826206,827522,1317,"-",0,"includeFeature",0,"LINC00115","long intergenic non-protein coding RNA 115"
"window_381","chr1",950000,960000,10001,"*",82,32.5396825396825,3.48246034574092,"window_381","26155",944203,959309,15107,"-",0,"overlapStart",0,"NOC2L","NOC2 like nucleolar associated transcriptional repressor"
"window_381.1","chr1",950000,960000,10001,"*",82,32.5396825396825,3.48246034574092,"window_381","339451",960584,965719,5136,"+",583,"upstream",583,"KLHL17","kelch like family member 17"
"window_382","chr1",952500,962500,10001,"*",84,33.3333333333333,3.50655789731998,"window_382","26155",944203,959309,15107,"-",0,"overlapStart",0,"NOC2L","NOC2 like nucleolar associated transcriptional repressor"
"window_382.1","chr1",952500,962500,10001,"*",84,33.3333333333333,3.50655789731998,"window_382","339451",960584,965719,5136,"+",0,"overlapStart",0,"KLHL17","kelch like family member 17"
"window_383","chr1",955000,965000,10001,"*",91,36.1111111111111,3.58660060499352,"window_383","26155",944203,959309,15107,"-",0,"overlapStart",0,"NOC2L","NOC2 like nucleolar associated transcriptional repressor"
