"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_463239","chr6",96890000,96900000,10001,"*",69,27.3809523809524,"window_463239","29078",96889315,96897891,8577,"-",0,"overlapStart",0,"NDUFAF4","NADH:ubiquinone oxidoreductase complex assembly factor 4"
"window_467291","chr6",107020000,107030000,10001,"*",69,27.3809523809524,"window_467291","51250",107028199,107051586,23388,"+",0,"overlapStart",0,"MTRES1","mitochondrial transcription rescue factor 1"
"window_469125","chr6",111605000,111615000,10001,"*",69,27.3809523809524,"window_469125","10758",111555381,111606906,51526,"-",0,"overlapStart",0,"TRAF3IP2","TRAF3 interacting protein 2"
"window_469315","chr6",112080000,112090000,10001,"*",69,27.3809523809524,"window_469315","51175",112070663,112087529,16867,"-",0,"overlapStart",0,"TUBE1","tubulin epsilon 1"
"window_469315.1","chr6",112080000,112090000,10001,"*",69,27.3809523809524,"window_469315","619208",112087591,112102790,15200,"+",0,"overlapStart",0,"FAM229B","family with sequence similarity 229 member B"
"window_475421","chr6",127345000,127355000,10001,"*",69,27.3809523809524,"window_475421","55862",127288712,127343609,54898,"-",1390,"upstream",1390,"ECHDC1","ethylmalonyl-CoA decarboxylase 1"
"window_477131","chr6",131620000,131630000,10001,"*",69,27.3809523809524,"window_477131","9439",131573966,131628242,54277,"-",0,"overlapStart",0,"MED23","mediator complex subunit 23"
"window_477131.1","chr6",131620000,131630000,10001,"*",69,27.3809523809524,"window_477131","5169",131628442,131747418,118977,"+",0,"overlapStart",0,"ENPP3","ectonucleotide pyrophosphatase/phosphodiesterase 3"
"window_477132","chr6",131622500,131632500,10001,"*",69,27.3809523809524,"window_477132","9439",131573966,131628242,54277,"-",0,"overlapStart",0,"MED23","mediator complex subunit 23"
"window_477132.1","chr6",131622500,131632500,10001,"*",69,27.3809523809524,"window_477132","5169",131628442,131747418,118977,"+",0,"overlapStart",0,"ENPP3","ectonucleotide pyrophosphatase/phosphodiesterase 3"
"window_478681","chr6",135495000,135505000,10001,"*",69,27.3809523809524,"window_478681","100131814",135497422,135813990,316569,"+",0,"overlapStart",0,"LINC00271","long intergenic non-protein coding RNA 271"
"window_478681.1","chr6",135495000,135505000,10001,"*",69,27.3809523809524,"window_478681","54806",135283532,135497765,214234,"-",0,"overlapStart",0,"AHI1","Abelson helper integration site 1"
"window_481703","chr6",143050000,143060000,10001,"*",69,27.3809523809524,"window_481703","100507489",142966293,143059682,93390,"-",0,"overlapStart",0,"LINC01277","long intergenic non-protein coding RNA 1277"
"window_481703.1","chr6",143050000,143060000,10001,"*",69,27.3809523809524,"window_481703","51390",143060496,143341058,280563,"+",495,"upstream",495,"AIG1","androgen induced 1"
"window_488485","chr6",160005000,160015000,10001,"*",69,27.3809523809524,"window_488485","100271873",160003291,160007664,4374,"-",0,"overlapStart",0,"AIRN","antisense of IGF2R non-protein coding RNA"
"window_493046","chr7",600000,610000,10001,"*",69,27.3809523809524,"window_493046","101926963",603185,608482,5298,"+",0,"includeFeature",0,"PRKAR1B-AS1","PRKAR1B antisense RNA 1"
"window_493147","chr7",852500,862500,10001,"*",69,27.3809523809524,"window_493147","51608",851950,896436,44487,"+",0,"inside",549,"GET4","guided entry of tail-anchored proteins factor 4"
"window_495438","chr7",6580000,6590000,10001,"*",69,27.3809523809524,"window_495438","55146",6577434,6589374,11941,"+",0,"overlapEnd",2565,"ZDHHC4","zinc finger DHHC-type palmitoyltransferase 4"
"window_495438.1","chr7",6580000,6590000,10001,"*",69,27.3809523809524,"window_495438","79034",6590021,6608726,18706,"+",20,"upstream",20,"C7orf26","chromosome 7 open reading frame 26"
"window_500452","chr7",19115000,19125000,10001,"*",69,27.3809523809524,"window_500452","7291",19020991,19117636,96646,"-",0,"overlapStart",0,"TWIST1","twist family bHLH transcription factor 1"
"window_500689","chr7",19707500,19717500,10001,"*",69,27.3809523809524,"window_500689","100422967",19705358,19705436,79,"-",2063,"upstream",2063,"MIR3146","microRNA 3146"
