"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_364","chr1",907500,917500,10001,"*",117,46.4285714285714,"window_364","100130417",916870,919692,2823,"-",0,"overlapEnd",2191,"LINC02593","long intergenic non-protein coding RNA 2593"
"window_365","chr1",910000,920000,10001,"*",116,46.031746031746,"window_365","100130417",916870,919692,2823,"-",0,"includeFeature",0,"LINC02593","long intergenic non-protein coding RNA 2593"
"window_370","chr1",922500,932500,10001,"*",122,48.4126984126984,"window_370","100130417",916870,919692,2823,"-",2807,"upstream",2807,"LINC02593","long intergenic non-protein coding RNA 2593"
"window_370.1","chr1",922500,932500,10001,"*",122,48.4126984126984,"window_370","148398",923928,944581,20654,"+",0,"overlapStart",0,"SAMD11","sterile alpha motif domain containing 11"
"window_371","chr1",925000,935000,10001,"*",117,46.4285714285714,"window_371","148398",923928,944581,20654,"+",0,"inside",1071,"SAMD11","sterile alpha motif domain containing 11"
"window_380","chr1",947500,957500,10001,"*",114,45.2380952380952,"window_380","26155",944203,959309,15107,"-",0,"inside",1808,"NOC2L","NOC2 like nucleolar associated transcriptional repressor"
"window_406","chr1",1012500,1022500,10001,"*",110,43.6507936507937,"window_406","375790",1020120,1056118,35999,"+",0,"overlapStart",0,"AGRN","agrin"
"window_407","chr1",1015000,1025000,10001,"*",115,45.6349206349206,"window_407","375790",1020120,1056118,35999,"+",0,"overlapStart",0,"AGRN","agrin"
"window_408","chr1",1017500,1027500,10001,"*",106,42.0634920634921,"window_408","375790",1020120,1056118,35999,"+",0,"overlapStart",0,"AGRN","agrin"
"window_409","chr1",1020000,1030000,10001,"*",112,44.4444444444444,"window_409","375790",1020120,1056118,35999,"+",0,"overlapStart",0,"AGRN","agrin"
"window_410","chr1",1022500,1032500,10001,"*",106,42.0634920634921,"window_410","375790",1020120,1056118,35999,"+",0,"inside",2379,"AGRN","agrin"
"window_425","chr1",1060000,1070000,10001,"*",104,41.2698412698413,"window_425","100288175",1059708,1069355,9648,"+",0,"overlapEnd",291,"LOC100288175","uncharacterized LOC100288175"
"window_426","chr1",1062500,1072500,10001,"*",109,43.2539682539683,"window_426","100288175",1059708,1069355,9648,"+",0,"overlapEnd",2791,"LOC100288175","uncharacterized LOC100288175"
"window_426.1","chr1",1062500,1072500,10001,"*",109,43.2539682539683,"window_426","401934",1070967,1074306,3340,"-",0,"overlapEnd",1805,"RNF223","ring finger protein 223"
"window_427","chr1",1065000,1075000,10001,"*",109,43.2539682539683,"window_427","401934",1070967,1074306,3340,"-",0,"includeFeature",0,"RNF223","ring finger protein 223"
"window_428","chr1",1067500,1077500,10001,"*",105,41.6666666666667,"window_428","401934",1070967,1074306,3340,"-",0,"includeFeature",0,"RNF223","ring finger protein 223"
"window_429","chr1",1070000,1080000,10001,"*",120,47.6190476190476,"window_429","401934",1070967,1074306,3340,"-",0,"includeFeature",0,"RNF223","ring finger protein 223"
"window_489","chr1",1220000,1230000,10001,"*",103,40.8730158730159,"window_489","51150",1216908,1232067,15160,"-",0,"inside",2066,"SDF4","stromal cell derived factor 4"
"window_489.1","chr1",1220000,1230000,10001,"*",103,40.8730158730159,"window_489","126792",1232237,1235041,2805,"+",2236,"upstream",2236,"B3GALT6","beta-1,3-galactosyltransferase 6"
"window_490","chr1",1222500,1232500,10001,"*",107,42.4603174603175,"window_490","51150",1216908,1232067,15160,"-",0,"overlapStart",0,"SDF4","stromal cell derived factor 4"
"window_490.1","chr1",1222500,1232500,10001,"*",107,42.4603174603175,"window_490","126792",1232237,1235041,2805,"+",0,"overlapStart",0,"B3GALT6","beta-1,3-galactosyltransferase 6"
"window_491","chr1",1225000,1235000,10001,"*",119,47.2222222222222,"window_491","51150",1216908,1232067,15160,"-",0,"overlapStart",0,"SDF4","stromal cell derived factor 4"
